date,date_id
1980-11-14,1
2003-05-09,2
2011-02-25,3
1961-05-07,4
1972-04-27,5
2004-11-08,6
2009-08-30,7
1999-05-11,8
1999-06-03,9
2014-01-15,10
1961-06-08,11
2020-11-05,12
1969-11-13,13
2022-01-25,14
2003-01-08,15
2001-01-05,16
1991-04-25,17
2015-05-03,18
1991-10-20,19
2007-06-20,20
1961-09-07,21
1969-12-09,22
1995-01-03,23
1979-06-03,24
1990-04-04,25
1957-01-30,26
1965-02-20,27
1995-06-07,28
2000-09-24,29
2018-06-10,30
2005-07-11,31
1982-09-20,32
2010-09-14,33
1960-04-21,34
1989-01-27,35
2005-01-25,36
1970-01-20,37
2023-09-29,38
2002-11-15,39
1992-02-21,40
1996-03-13,41
1996-03-01,42
2016-05-08,43
1994-03-27,44
1987-11-02,45
1984-03-08,46
1996-04-17,47
2014-06-02,48
2014-11-19,49
1967-10-24,50
1968-09-14,51
1985-09-13,52
1970-05-01,53
1993-07-30,54
2006-09-02,55
2003-06-30,56
1966-08-11,57
1957-08-13,58
1961-07-31,59
2018-01-10,60
2024-06-01,61
2018-01-13,62
2021-07-21,63
1981-01-31,64
2000-12-04,65
2013-07-22,66
1983-11-14,67
1996-01-20,68
1969-06-23,69
1962-08-10,70
1985-05-04,71
1982-09-03,72
2020-10-06,73
2020-03-29,74
1969-02-05,75
2005-09-17,76
2018-11-23,77
1993-02-16,78
1973-02-11,79
2019-12-28,80
2009-03-21,81
1992-03-14,82
1982-01-11,83
1990-05-05,84
1987-07-28,85
1995-12-17,86
1991-02-23,87
2020-03-27,88
1971-08-29,89
2002-04-25,90
2022-12-23,91
1961-05-27,92
2003-07-19,93
2011-05-15,94
2005-09-20,95
2019-01-31,96
1968-05-08,97
1996-05-12,98
1982-08-28,99
1972-11-02,100
2020-11-06,101
2011-09-23,102
2018-07-27,103
2001-11-14,104
1981-05-18,105
1997-05-26,106
1974-12-07,107
1988-01-18,108
1970-10-29,109
2003-01-03,110
1970-02-18,111
1962-11-26,112
1985-10-29,113
1974-07-24,114
1976-12-05,115
1961-04-26,116
1975-05-23,117
2014-09-29,118
1974-11-21,119
1967-08-29,120
1992-05-21,121
1993-10-14,122
1997-04-16,123
1969-01-25,124
1996-05-30,125
1987-03-05,126
2010-01-21,127
1973-06-18,128
1987-07-04,129
1956-03-19,130
1996-10-21,131
2014-09-15,132
1973-02-03,133
1962-03-15,134
1988-12-06,135
2003-12-22,136
1990-04-15,137
2019-08-22,138
2001-09-13,139
1997-09-02,140
2004-05-18,141
1956-05-17,142
1956-06-11,143
1974-10-08,144
1994-11-30,145
2022-03-16,146
1970-08-09,147
1963-01-30,148
1959-11-08,149
1966-06-25,150
2005-07-21,151
1965-08-18,152
2008-04-28,153
1960-02-02,154
2009-05-17,155
2009-03-12,156
1964-12-06,157
1986-06-08,158
2013-12-13,159
1968-01-22,160
1995-06-17,161
1982-04-26,162
1964-08-07,163
1970-01-07,164
1958-04-04,165
2009-03-17,166
2023-02-26,167
1986-09-26,168
2013-09-20,169
2018-10-07,170
1992-03-18,171
2023-06-30,172
2021-05-11,173
1966-01-26,174
2011-04-25,175
1989-07-25,176
1961-07-29,177
2001-03-19,178
2015-10-24,179
1989-06-27,180
2004-02-10,181
1983-10-28,182
2014-11-03,183
1959-07-30,184
1962-11-17,185
1999-04-08,186
2013-10-23,187
1971-12-04,188
